MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.1667,38,4.8971,1.0714,1025,2.4405,37.79,-122.25,2.112
2.8750,37,4.8125,1.0938,982,2.4562,37.79,-122.24,2.054
3.1250,39,5.1250,1.0625,876,2.4375,37.79,-122.24,2.321
2.6250,42,4.3750,1.0938,754,2.3563,37.79,-122.24,1.875
3.0833,41,5.2083,1.0417,921,2.5583,37.79,-122.23,2.175
3.5000,36,5.4211,1.1053,1034,2.7211,37.80,-122.23,2.487
4.1250,35,5.6724,1.0345,1125,2.5862,37.80,-122.23,2.750
3.7500,34,5.1842,1.0789,987,2.5974,37.80,-122.22,2.635
2.9583,40,4.9231,1.1154,845,2.1667,37.80,-122.22,2.198
3.3750,43,5.0526,1.0526,764,2.0079,37.80,-122.22,2.342
4.2500,45,5.8750,1.0000,654,2.0438,37.81,-122.22,2.891
3.6250,44,5.2500,1.0625,823,2.1458,37.81,-122.21,2.674
3.9583,46,5.4167,1.0417,745,2.0670,37.81,-122.21,2.815
2.7500,48,4.6250,1.1250,932,2.3300,37.81,-122.21,2.102
3.5417,47,5.3125,1.0625,811,2.2530,37.81,-122.20,2.567
4.0833,49,5.7500,1.0208,723,2.0100,37.81,-122.20,2.923
2.9167,50,4.8333,1.1042,956,2.3640,37.82,-122.20,2.245
3.6667,51,5.1667,1.0833,874,2.1430,37.82,-122.19,2.732
3.2917,52,5.0417,1.0417,915,2.1050,37.82,-122.19,2.481
2.4583,53,4.4167,1.1250,1022,2.5550,37.82,-122.19,1.954
3.8333,54,5.5833,1.0417,789,2.1970,37.82,-122.18,2.843
4.4167,55,6.0417,1.0000,645,2.0156,37.82,-122.18,3.125
3.0417,56,4.7917,1.0833,933,2.4300,37.83,-122.18,2.216
2.5833,57,4.5833,1.1250,1045,2.6040,37.83,-122.18,1.897
3.7500,58,5.3750,1.0625,812,2.0310,37.83,-122.17,2.678
4.0417,59,5.6667,1.0417,701,2.0170,37.83,-122.17,2.934
3.1250,60,4.8750,1.0833,968,2.4200,37.83,-122.17,2.318
2.7917,61,4.5417,1.1250,1098,2.7450,37.84,-122.17,2.045
3.4583,62,5.2500,1.0625,856,2.1400,37.84,-122.16,2.596
4.1667,63,5.7917,1.0208,734,2.0417,37.84,-122.16,3.017
3.5833,64,5.1250,1.0833,902,2.2550,37.84,-122.15,2.731
